,,,,,
,,,,,
محیط,دسته داده,منبع/نحوه تهیه,حجم,زبان,توضیحات
WebShop,محصولات,Scrape از Amazon با ScraperAPI,۱.۱۸M محصول (نسخه سبک: ۱۰۰۰),انگلیسی,"۵ دسته: مد، آرایش، الکترونیک، مبلمان، غذا"
WebShop,دستورالعمل‌ها,کارگران MTurk (انسانی) + TF-IDF روی متن محصول (ماشینی),۱۲٬۰۸۷ دستور (تقسیم ۱۰۵۸۷/۱۰۰۰/۵۰۰),انگلیسی,دستورات انسانی برای ارزیابی؛ ماشینی برای آموزش/مقیاس
ReAct,محصولات,همان WebShop (بدون تغییر),همان WebShop,انگلیسی,داده جدیدی تولید نشده
ReAct,دستورالعمل‌ها,نمونه‌برداری تصادفی از مجموعه تست WebShop ,۵۰۰ دستور,انگلیسی,"few-shot examples: چند نمونه از train، مسیر استدلال دستی نوشته شده توسط انسان"
X-WebAgentBench,محصولات,ترجمه محصولات WebShop با GPT-4,۵۸۹٬۹۴۶ (۴۲٬۱۳۹ × ۱۴ زبان),۱۴ زبان,برای هر دستور میانگین ۲۱۱ محصول هم‌دسته استخراج شد؛ GPT-4 به دلیل درک زمینه‌ای ۱۵٪ بهتر از Google Translate بود
X-WebAgentBench,دستورالعمل‌ها,انتخاب ۵۰۰ دستور از تست ReAct ← حذف دستورات مبهم ← ترجمه با Google Translate API ← کنترل کیفیت سه‌مرحله‌ای,۲۸۰۰ دستور (۲۰۰ × ۱۴ زبان),۱۴ زبان,کنترل کیفیت: Onboarding test + LLM Check (GPT-4-turbo) + Manual Recheck (kappa=۰.۸)؛ فارسی پوشش داده نشده
پژوهش حاضر,محصولات,ترجمه محصولات X-Web (نسخه انگلیسی) به فارسی با مدل زبانی,۴۲٬۱۳۹ محصول (اجرا روی نسخه ۱۰۰۰تایی),فارسی,بومی‌سازی اضافی: تبدیل قیمت به ریال + RTL
پژوهش حاضر,دستورالعمل‌ها,ترجمه ۲۰۰ دستور X-Web (نسخه انگلیسی) به فارسی با مدل زبانی + کنترل کیفیت,۲۰۰ دستور,فارسی,همان روش کنترل کیفیت X-Web اعمال می‌شود
,,,,,
,,,,,
